Time, Sonar_F, Linear_Velocity_X, Angular_Velocity_Z, Front_Right_Error, Right_Error
7.368, 1.3328688144683838, 0.6, 0.0, 0.0, 0.0
7.377, 1.3114992380142212, 0.6, 0.0, 0.0, 0.0
7.389, 1.3114992380142212, 0.6, 0.0, 0.0, 0.0
7.397, 1.3114992380142212, 0.6, 0.0, 0.0, 0.0
7.407, 1.3114992380142212, 0.6, 0.0, 0.0, 0.0
7.438, 1.3114992380142212, 0.6, 0.0, 0.0, 0.0
7.438, 1.3114992380142212, 0.6, 0.0, 0.0, 0.0
7.438, 1.3114992380142212, 0.6, 0.0, 0.0, 0.0
7.447, 0.007897291332483292, 0.6, 0.0, 0.0, 0.0
7.457, 0.007897291332483292, 0.025, -3.141592653589793, 0.0, 0.0
7.467, 0.007897291332483292, 0.025, -3.141592653589793, 0.0, 0.0
7.477, 1.2520027160644531, 0.025, -3.141592653589793, 0.0, 0.0
7.4879999999999995, 1.2520027160644531, 0.025, -3.141592653589793, 0.0, 0.0
7.5, 1.2520027160644531, 0.025, -3.141592653589793, 0.0, 0.0
7.525, 0.012591821141541004, 0.025, -3.141592653589793, 0.0, 0.0
7.525, 0.012591821141541004, 0.025, -3.141592653589793, 0.0, 0.0
7.542, 0.012591821141541004, 0.025, -3.141592653589793, 0.0, 0.0
7.542, 0.012591821141541004, 0.025, -3.141592653589793, 0.0, 0.0
7.547, 0.012591821141541004, 0.025, -3.141592653589793, 0.0, 0.0
7.564, 1.2015832662582397, 0.025, -3.141592653589793, 0.0, 0.0
7.567, 1.2015832662582397, 0.025, -3.141592653589793, 0.0, 0.0
7.577, 1.2048189640045166, 0.025, -3.141592653589793, 0.0, 0.0
7.59, 1.2048189640045166, 0.025, -3.141592653589793, 0.0, 0.0
7.5969999999999995, 1.194425344467163, 0.025, -3.141592653589793, 0.0, 0.0
7.615, 1.183847188949585, 0.025, -3.141592653589793, 0.0, 0.0
7.617, 1.183847188949585, 0.025, -3.141592653589793, 0.0, 0.0
7.629, 1.183847188949585, 0.025, -3.141592653589793, 0.0, 0.0
7.6370000000000005, 1.183847188949585, 0.025, -3.141592653589793, 0.0, 0.0
7.65, 1.183847188949585, 0.025, -3.141592653589793, 0.0, 0.0
7.661, 1.183847188949585, 0.025, -3.141592653589793, 0.0, 0.0
7.668, 1.1575106382369995, 0.025, -3.141592653589793, 0.0, 0.0
7.677, 1.1575106382369995, 0.025, -3.141592653589793, 0.0, 0.0
7.687, 1.1437262296676636, 0.025, -3.141592653589793, 0.0, 0.0
7.711, 1.1437262296676636, 0.025, -3.141592653589793, 0.0, 0.0
7.711, 1.1437262296676636, 0.025, -3.141592653589793, 0.0, 0.0
7.717, 1.1437262296676636, 0.025, -3.141592653589793, 0.0, 0.0
7.73, 1.13715660572052, 0.025, -3.141592653589793, 0.0, 0.0
7.739, 1.13715660572052, 0.025, -3.141592653589793, 0.0, 0.0
7.748, 1.13715660572052, 0.025, -3.141592653589793, 0.0, 0.0
7.757, 1.1104048490524292, 0.025, -3.141592653589793, 0.0, 0.0
7.772, 1.1104048490524292, 0.025, -3.141592653589793, 0.0, 0.0
7.777, 1.1104048490524292, 0.025, -3.141592653589793, 0.0, 0.0
7.798, 1.0914485454559326, 0.025, -3.141592653589793, 0.0, 0.0
7.798, 1.0914485454559326, 0.025, -3.141592653589793, 0.0, 0.0
7.8100000000000005, 1.0906091928482056, 0.025, -3.141592653589793, 0.0, 0.0
7.818, 1.0716266632080078, 0.025, -3.141592653589793, 0.0, 0.0
7.829, 1.0716266632080078, 0.025, -3.141592653589793, 0.0, 0.0
7.837, 1.0440422296524048, 0.025, -3.141592653589793, 0.0, 0.0
7.8469999999999995, 1.0440422296524048, 0.025, -3.141592653589793, 0.0, 0.0
7.857, 1.0440422296524048, 0.025, -3.141592653589793, 0.0, 0.0
7.873, 1.0397428274154663, 0.025, -3.141592653589793, 0.0, 0.0
7.878, 1.0397428274154663, 0.025, -3.141592653589793, 0.0, 0.0
7.8870000000000005, 1.0397428274154663, 0.025, -3.141592653589793, 0.0, 0.0
7.897, 1.0397428274154663, 0.025, -3.141592653589793, 0.0, 0.0
7.908, 1.0160071849822998, 0.025, -3.141592653589793, 0.0, 0.0
7.917, 1.0160071849822998, 0.025, -3.141592653589793, 0.0, 0.0
7.927, 1.0160071849822998, 0.025, -3.141592653589793, 0.0, 0.0
7.938, 1.0160071849822998, 0.025, -3.141592653589793, 0.0, 0.0
7.947, 0.9906522035598755, 0.025, -3.141592653589793, 0.0, 0.0
7.958, 0.9906522035598755, 0.025, -3.141592653589793, 0.0, 0.0
7.97, 0.9906522035598755, 0.025, -3.141592653589793, 0.0, 0.0
7.977, 0.9906522035598755, 0.025, -3.141592653589793, 0.0, 0.0
7.987, 0.9649708271026611, 0.025, -3.141592653589793, 0.0, 0.0
7.998, 0.9649708271026611, 0.025, -3.141592653589793, 0.0, 0.0
8.007, 0.9675599932670593, 0.025, -3.141592653589793, 0.0, 0.0
8.02, 0.9675599932670593, 0.025, -3.141592653589793, 0.0, 0.0
8.033, 0.9469488263130188, 0.025, -3.141592653589793, 0.0, 0.0
8.041, 0.9469488263130188, 0.025, -3.141592653589793, 0.0, 0.0
8.047, 0.9440774321556091, 0.025, -3.141592653589793, 0.0, 0.0
8.058, 0.9440774321556091, 0.025, -3.141592653589793, 0.0, 0.0
8.067, 0.9234479069709778, 0.025, -3.141592653589793, 0.0, 0.0
8.077, 0.9234479069709778, 0.025, -3.141592653589793, 0.0, 0.0
8.089, 0.9234479069709778, 0.025, -3.141592653589793, 0.0, 0.0
8.101, 0.9234479069709778, 0.025, -3.141592653589793, 0.0, 0.0
8.109, 0.9152035117149353, 0.025, -3.141592653589793, 0.0, 0.0
8.119, 0.9152035117149353, 0.025, -3.141592653589793, 0.0, 0.0
8.128, 0.9152035117149353, 0.025, -3.141592653589793, 0.0, 0.0
8.138, 0.9152035117149353, 0.025, -3.141592653589793, 0.0, 0.0
8.147, 0.9016841053962708, 0.025, -3.141592653589793, 0.0, 0.0
8.157, 0.9016841053962708, 0.025, -3.141592653589793, 0.0, 0.0
8.168, 0.9016841053962708, 0.025, -3.141592653589793, 0.0, 0.0
8.185, 0.9027013182640076, 0.025, -3.141592653589793, 0.0, 0.0
8.201, 0.9027013182640076, 0.025, -3.141592653589793, 0.0, 0.0
8.201, 0.9027013182640076, 0.025, -3.141592653589793, 0.0, 0.0
8.209, 0.9027013182640076, 0.025, -3.141592653589793, 0.0, 0.0
8.217, 0.9027013182640076, 0.025, -3.141592653589793, 0.0, 0.0
8.229, 0.8913701772689819, 0.025, -3.141592653589793, 0.0, 0.0
8.238, 0.8913701772689819, 0.025, -3.141592653589793, 0.0, 0.0
8.247, 0.9056757688522339, 0.025, -3.141592653589793, 0.0, 0.0
8.257, 0.9056757688522339, 0.025, -3.141592653589793, 0.0, 0.0
8.267, 0.8938050270080566, 0.025, -3.141592653589793, 0.0, 0.0
8.277, 0.8938050270080566, 0.025, -3.141592653589793, 0.0, 0.0
8.289, 0.8938050270080566, 0.025, -3.141592653589793, 0.0, 0.0
8.333, 0.8938050270080566, 0.025, -3.141592653589793, 0.0, 0.0
8.333, 0.8938050270080566, 0.025, -3.141592653589793, 0.0, 0.0
8.343, 0.9002679586410522, 0.025, -3.141592653589793, 0.0, 0.0
8.353, 0.9002679586410522, 0.025, -3.141592653589793, 0.0, 0.0
8.365, 0.9002679586410522, 0.025, -3.141592653589793, 0.0, 0.0
8.373, 0.9438748955726624, 0.025, -3.141592653589793, 0.0, 0.0
8.386, 0.9438748955726624, 0.025, -3.141592653589793, 0.0, 0.0
8.402, 0.9438748955726624, 0.025, -3.141592653589793, 0.0, 0.0
8.413, 0.9438748955726624, 0.025, -3.141592653589793, 0.0, 0.0
8.413, 0.9438748955726624, 0.025, -3.141592653589793, 0.0, 0.0
8.423, 0.9908565878868103, 0.025, -3.141592653589793, 0.0, 0.0
8.433, 0.9908565878868103, 0.025, -3.141592653589793, 0.0, 0.0
8.443, 0.9908565878868103, 0.025, -3.141592653589793, 0.0, 0.0
